model,seed,held_out,accuracy,macro_f1,f1_khlui,f1_khong,f1_so,f1_ranat,n_train,n_test,epochs_used
13_tbc_V1,123,โหมโรงมหาฤกษ์,0.5294117647058824,0.5111607142857142,0.6666666666666666,0.5,0.6875,0.19047619047619047,751,68,12
13_tbc_V1,2024,กล่อมนารี,0.6071428571428571,0.5992408557625949,0.5652173913043478,0.5714285714285714,0.5714285714285714,0.6888888888888889,679,140,13
13_tbc_V1,2024,จีนขิมเล็ก,0.6504854368932039,0.6466504923647781,0.4489795918367347,0.6545454545454545,0.9230769230769231,0.56,716,103,16
13_tbc_V1,2024,ตับต้นเพลงฉิ่ง,0.7215909090909091,0.6982963739335099,0.4,0.9318181818181818,0.8155339805825242,0.6458333333333334,643,176,20
13_tbc_V1,2024,สาธุการ,0.7314814814814815,0.6743614436735319,0.16393442622950818,0.8545454545454545,0.9906542056074766,0.6883116883116883,603,216,18
13_tbc_V1,2024,แขกมอญบางช้าง,0.5172413793103449,0.5187944000106228,0.3829787234042553,0.8363636363636363,0.42105263157894735,0.43478260869565216,703,116,11
13_tbc_V1,2024,โหมโรงมหาฤกษ์,0.5588235294117647,0.5397145177411294,0.6666666666666666,0.5416666666666666,0.6896551724137931,0.2608695652173913,751,68,13
13_tbc_V2,42,กล่อมนารี,0.6285714285714286,0.5901021349911267,0.3829787234042553,0.5757575757575758,0.6538461538461539,0.7478260869565218,679,140,13
13_tbc_V2,42,จีนขิมเล็ก,0.6990291262135923,0.7026725589225589,0.5333333333333333,0.7727272727272727,0.9629629629629629,0.5416666666666666,716,103,16
13_tbc_V2,42,ตับต้นเพลงฉิ่ง,0.6875,0.6452518226454397,0.2909090909090909,0.9230769230769231,0.75,0.6170212765957447,643,176,18
13_tbc_V2,42,สาธุการ,0.7777777777777778,0.732563025210084,0.29411764705882354,0.907563025210084,0.9714285714285714,0.7571428571428571,603,216,14
13_tbc_V2,42,แขกมอญบางช้าง,0.6982758620689655,0.6799650881243313,0.6,0.7796610169491526,0.8285714285714286,0.5116279069767442,703,116,12
13_tbc_V2,42,โหมโรงมหาฤกษ์,0.5735294117647058,0.5601330913490623,0.6842105263157895,0.5333333333333333,0.6896551724137931,0.3333333333333333,751,68,13
13_tbc_V2,123,กล่อมนารี,0.5857142857142857,0.5922452707754376,0.5142857142857142,0.5526315789473685,0.6923076923076923,0.6097560975609756,679,140,13
13_tbc_V2,123,จีนขิมเล็ก,0.6116504854368932,0.6108125213904457,0.46511627906976744,0.6538461538461539,0.7272727272727273,0.5970149253731343,716,103,14
13_tbc_V2,123,ตับต้นเพลงฉิ่ง,0.6590909090909091,0.6233894778475362,0.2711864406779661,0.8571428571428571,0.7610619469026548,0.6041666666666666,643,176,15
13_tbc_V2,123,สาธุการ,0.7175925925925926,0.6780561871665118,0.25806451612903225,0.8316831683168316,0.9724770642201835,0.65,603,216,12
13_tbc_V2,123,แขกมอญบางช้าง,0.7068965517241379,0.690303657694962,0.5,0.7857142857142857,0.8405797101449275,0.6349206349206349,703,116,16
13_tbc_V2,123,โหมโรงมหาฤกษ์,0.5147058823529411,0.5205259927715773,0.4827586206896552,0.5853658536585366,0.6896551724137931,0.32432432432432434,751,68,14
13_tbc_V2,2024,กล่อมนารี,0.5857142857142857,0.5888155869028564,0.5617977528089888,0.5882352941176471,0.6229508196721312,0.5822784810126582,679,140,14
13_tbc_V2,2024,จีนขิมเล็ก,0.6990291262135923,0.6942944333158483,0.45454545454545453,0.7755102040816326,0.9019607843137255,0.6451612903225806,716,103,25
13_tbc_V2,2024,ตับต้นเพลงฉิ่ง,0.7045454545454546,0.6536225366112585,0.3076923076923077,0.9387755102040817,0.7543859649122807,0.6136363636363636,643,176,14
13_tbc_V2,2024,สาธุการ,0.6759259259259259,0.6422906279065012,0.35294117647058826,0.905982905982906,0.6521739130434783,0.6580645161290323,603,216,11
13_tbc_V2,2024,แขกมอญบางช้าง,0.7327586206896551,0.704978354978355,0.6428571428571429,0.8484848484848485,0.8285714285714286,0.5,703,116,14
13_tbc_V2,2024,โหมโรงมหาฤกษ์,0.47058823529411764,0.48298820684707855,0.47058823529411764,0.3125,0.7586206896551724,0.3902439024390244,751,68,17
