model,seed,held_out,accuracy,macro_f1,f1_khlui,f1_khong,f1_so,f1_ranat,n_train,n_test
5_svm_unigram,2024,โหมโรงมหาฤกษ์,0.4117647058823529,0.3784970238095238,0.4166666666666667,0.46875,0.42857142857142855,0.2,751,68
6_svm_bigram,42,กล่อมนารี,0.6428571428571429,0.6375558312655087,0.6133333333333333,0.6333333333333333,0.6153846153846154,0.6881720430107527,679,140
6_svm_bigram,42,จีนขิมเล็ก,0.7281553398058253,0.7259062776304155,0.6666666666666666,0.6666666666666666,0.8461538461538461,0.7241379310344828,716,103
6_svm_bigram,42,ตับต้นเพลงฉิ่ง,0.6477272727272727,0.6330961529417041,0.45161290322580644,0.9555555555555556,0.6194690265486725,0.5057471264367817,643,176
6_svm_bigram,42,สาธุการ,0.8240740740740741,0.8008466552478828,0.56,0.8709677419354839,0.9557522123893806,0.8166666666666667,603,216
6_svm_bigram,42,แขกมอญบางช้าง,0.7068965517241379,0.6959912854030501,0.5925925925925926,0.8666666666666667,0.7647058823529411,0.56,703,116
6_svm_bigram,42,โหมโรงมหาฤกษ์,0.5588235294117647,0.5467127496159754,0.6666666666666666,0.42857142857142855,0.64,0.45161290322580644,751,68
6_svm_bigram,123,กล่อมนารี,0.6428571428571429,0.6375558312655087,0.6133333333333333,0.6333333333333333,0.6153846153846154,0.6881720430107527,679,140
6_svm_bigram,123,จีนขิมเล็ก,0.7281553398058253,0.7259062776304155,0.6666666666666666,0.6666666666666666,0.8461538461538461,0.7241379310344828,716,103
6_svm_bigram,123,ตับต้นเพลงฉิ่ง,0.6477272727272727,0.6330961529417041,0.45161290322580644,0.9555555555555556,0.6194690265486725,0.5057471264367817,643,176
6_svm_bigram,123,สาธุการ,0.8240740740740741,0.8008466552478828,0.56,0.8709677419354839,0.9557522123893806,0.8166666666666667,603,216
6_svm_bigram,123,แขกมอญบางช้าง,0.7068965517241379,0.6959912854030501,0.5925925925925926,0.8666666666666667,0.7647058823529411,0.56,703,116
6_svm_bigram,123,โหมโรงมหาฤกษ์,0.5588235294117647,0.5467127496159754,0.6666666666666666,0.42857142857142855,0.64,0.45161290322580644,751,68
6_svm_bigram,2024,กล่อมนารี,0.6428571428571429,0.6375558312655087,0.6133333333333333,0.6333333333333333,0.6153846153846154,0.6881720430107527,679,140
6_svm_bigram,2024,จีนขิมเล็ก,0.7281553398058253,0.7259062776304155,0.6666666666666666,0.6666666666666666,0.8461538461538461,0.7241379310344828,716,103
